child,parent
DB09568,Drug
DB01611,P01BA02
DB00379,C01BB02
DB04743,M01AX17
DB04743,M02AA26
DB00388,S01GA55
DB00388,R01BA53
DB00388,S01GA05
DB00388,R01AA04
DB00388,R01AB01
DB00388,S01FB51
DB00388,S01FB01
DB00388,C01CA06
DB00388,R01BA03
C08CA06,C08CA
C08CA,C08C
C08C,C08
C08,C
C,Drug
C01AA05,C01AA
C01AA,C01A
C01A,C01
C01,C
L01EX02,L01EX
L01EX,L01E
L01E,L01
L01,L
L,Drug
B06AX03,B06AX
B06AX,B06A
B06A,B06
B06,B
B,Drug
D11AH08,D11AH
D11AH,D11A
D11A,D11
D11,D
D,Drug
A02BD16,A02BD
A02BD,A02B
A02B,A02
A02,A
A,Drug
A02BC01,A02BC
A02BC,A02B
A02BD01,A02BD
A02BD05,A02BD
D11AH02,D11AH
G04CA51,G04CA
G04CA,G04C
G04C,G04
G04,G
G,Drug
G04CA01,G04CA
L01XK03,L01XK
L01XK,L01X
L01X,L01
L04AA55,L04AA
L04AA,L04A
L04A,L04
L04,L
L04AA48,L04AA
A16AX07,A16AX
A16AX,A16A
A16A,A16
A16,A
A02BX02,A02BX
A02BX,A02B
L01CA04,L01CA
L01CA,L01C
L01C,L01
C01CA03,C01CA
C01CA,C01C
C01C,C01
S01KA02,S01KA
S01KA,S01K
S01K,S01
S01,S
S,Drug
G04BX12,G04BX
G04BX,G04B
G04B,G04
V03AF12,V03AF
V03AF,V03A
V03A,V03
V03,V
V,Drug
A12AA13,A12AA
A12AA,A12A
A12A,A12
A12,A
A11GB01,A11GB
A11GB,A11G
A11G,A11
A11,A
L01XX66,L01XX
L01XX,L01X
L01EX10,L01EX
L01FF04,L01FF
L01FF,L01F
L01F,L01
L01EM04,L01EM
L01EM,L01E
L01EB07,L01EB
L01EB,L01E
L01EE03,L01EE
L01EE,L01E
L04AA51,L04AA
L01EX04,L01EX
L01EE02,L01EE
L03AX13,L03AX
L03AX,L03A
L03A,L03
L03,L
L01EX03,L01EX
A10BG02,A10BG
A10BG,A10B
A10B,A10
A10,A
A10BD04,A10BD
A10BD,A10B
A10BD03,A10BD
R07AX01,R07AX
R07AX,R07A
R07A,R07
R07,R
R,Drug
A05BA08,A05BA
A05BA,A05B
A05B,A05
A05,A
L01BC05,L01BC
L01BC,L01B
L01B,L01
L01EX14,L01EX
G03EA03,G03EA
G03EA,G03E
