node	type
8850	gene
10521	gene
599	gene
843	gene
10111	gene
7353	gene
5976	gene
9939	gene
8533	gene
5194	gene
9181	gene
11146	gene
57332	gene
11030	gene
55342	gene
51604	gene
84912	gene
23558	gene
79594	gene
10827	gene
9238	gene
60412	gene
55110	gene
143187	gene
84335	gene
92421	gene
80221	gene
79571	gene
10445	gene
10426	gene
114791	gene
100528062	gene
84876	gene
91582	gene
79902	gene
9093	gene
65056	gene
80153	gene
55588	gene
112950	gene
84946	gene
55536	gene
55661	gene
51028	gene
79077	gene
79078	gene
92105	gene
8939	gene
64395	gene
10906	gene
51429	gene
83737	gene
23376	gene
55698	gene
63916	gene
84461	gene
91408	gene
57473	gene
23368	gene
133619	gene
79677	gene
56160	gene
23431	gene
116985	gene
114823	gene
5514	gene
83696	gene
84680	gene
23214	gene
9223	gene
57761	gene
23013	gene
5707	gene
5204	gene
10200	gene
25828	gene
3654	gene
51141	gene
6048	gene
6457	gene
90550	gene
51545	gene
22980	gene
8540	gene
10045	gene
84445	gene
84300	gene
10844	gene
25844	gene
84272	gene
51138	gene
2519	gene
25915	gene
57035	gene
64223	gene
10813	gene
79022	gene
78989	gene
149986	gene
51593	gene
8907	gene
6624	gene
3704	gene
84271	gene
84365	gene
4288	gene
60468	gene
50943	gene
114088	gene
80131	gene
54910	gene
55759	gene
54976	gene
28991	gene
51631	gene
57379	gene
10043	gene
11059	gene
11052	gene
53826	gene
64374	gene
10621	gene
84164	gene
26276	gene
9748	gene
5411	gene
128866	gene
148362	gene
60485	gene
81610	gene
91689	gene
10193	gene
5442	gene
64216	gene
64762	gene
64745	gene
64115	gene
51808	gene
79833	gene
79760	gene
51295	gene
28976	gene
79666	gene
26003	gene
10935	gene
1355	gene
94081	gene
79147	gene
80273	gene
60314	gene
60489	gene
56949	gene
11180	gene
51538	gene
55505	gene
55651	gene
51561	gene
25945	gene
56616	gene
8891	gene
11177	gene
60496	gene
56893	gene
27350	gene
64145	gene
11311	gene
9140	gene
64422	gene
23410	gene
9440	gene
55149	gene
54994	gene
29086	gene
54981	gene
51135	gene
3656	gene
54850	gene
54820	gene
54433	gene
9774	gene
23640	gene
29998	gene
85456	gene
29099	gene
29088	gene
51079	gene
4139	gene
57542	gene
10013	gene
51699	gene
51439	gene
80020	gene
50813	gene
2006	gene
10892	gene
148223	gene
27229	gene
148022	gene
23670	gene
741	gene
55967	gene
114049	gene
51504	gene
50808	gene
7851	gene
2686	gene
84376	gene
79158	gene
84572	gene
51428	gene
8189	gene
51692	gene
64852	gene
9329	gene
23633	gene
26512	gene
9529	gene
23567	gene
5720	gene
5721	gene
4289	gene
57464	gene
23613	gene
22974	gene
29777	gene
Q9UN81	gene
11252	gene
6643	gene
22994	gene
51493	gene
10392	gene
9445	gene
10333	gene
22983	gene
23592	gene
9967	gene
51602	gene
51103	gene
51465	gene
51014	gene
65003	gene
51024	gene
26155	gene
25939	gene
5564	gene
5563	gene
25804	gene
10179	gene
11198	gene
23607	gene
51382	gene
23534	gene
28227	gene
80224	gene
10101	gene
10565	gene
10564	gene
7168	gene
10644	gene
4715	gene
54502	gene
388588	gene
8546	gene
5352	gene
8675	gene
9987	gene
7514	gene
11260	gene
9136	gene
8677	gene
9512	gene
Q80H93	gene
7812	gene
6838	gene
1362	gene
26156	gene
8614	gene
7542	gene
5327	gene
481	gene
6734	gene
284106	gene
3303	gene
34	gene
1291	gene
2108	gene
3007	gene
3006	gene
4072	gene
6139	gene
3181	gene
2040	gene
4015	gene
5046	gene
3163	gene
6133	gene
4363	gene
657	gene
2677	gene
523	gene
23521	gene
11224	gene
4839	gene
6157	gene
6203	gene
976	gene
5538	gene
5872	gene
220988	gene
27236	gene
83729	gene
6202	gene
6210	gene
6207	gene
6205	gene
6147	gene
6229	gene
6152	gene
6143	gene
7905	gene
6141	gene
780	gene
4240	gene
23203	gene
22937	gene
10960	gene
10949	gene
8761	gene
8754	gene
29889	gene
3709	gene
9790	gene
1994	gene
6510	gene
4884	gene
221092	gene
23333	gene
55700	gene
196527	gene
283742	gene
27346	gene
285282	gene
10531	gene
50809	gene
51490	gene
55240	gene
55132	gene
55676	gene
202018	gene
90957	gene
57552	gene
339230	gene
10463	gene
79070	gene
10283	gene
60493	gene
79956	gene
143888	gene
79671	gene
56605	gene
23646	gene
57153	gene
286827	gene
57647	gene
201931	gene
79586	gene
126789	gene
151188	gene
221955	gene
148867	gene
121441	gene
79039	gene
84720	gene
51106	gene
8971	gene
1902	gene
8836	gene
489	gene
60681	gene
79934	gene
27248	gene
494115	gene
113174	gene
199857	gene
